No,Concepto,Definición
290,Pastizales,"Como su nombre lo indica, la forma de vida vegetal dominante de este bioma son los pastos, que pueden tener diferentes alturas y formas de crecimiento. Los pastizales naturales se desarrollan donde la precipitación anual es intermedia entre la del desierto y la del bosque. En las zonas templadas es, generalmente, de 50 a 60 cm, y en las zonas tropicales de hasta 120 cm.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
291,Patrimonio natural y cultural,"Sitios, lugares o edificaciones con valor arqueológico, histórico, artístico, ambiental o de otra naturaleza, definidos y regulados por la legislación correspondiente.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXVII).

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
292,Pavimento,"Recubrimiento compuesto por materiales derivados del petróleo combinados con arcillas, presenta un color negro con textura uniforme y granulada.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de las características del entorno urbano.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
293,Peatón,"Persona que transita por la vía pública a pie; incluye a las personas con discapacidad o con movilidad limitada y menores de doce años a bordo de un vehículo no motorizado.

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). (2020). PROYECTO de Norma Oficial Mexicana de Espacios públicos en los asentamientos humanos. Ciudad de México: S/D.

"
294,Perímetro de contención urbana,"Línea que delimita las áreas urbanas y urbanizables respecto de las no urbanizables de un centro de población, y que tiene por objeto inducir y contener el desarrollo urbano al espacio físico determinado y planeado para tal efecto, para de esta manera conservar y proteger las áreas no urbanizables.

Fuente: 
Gobierno del Estado de San Luis Potosí. Ley de Desarrollo Urbano del Estado de San Luis Potosí (Art. 5. Frac. XX). Página 8.

Sitio(s) web:
http://lx.congresosanluis.gob.mx/ley/248.pdf
"
295,Perito,"Es la persona física que posee cédula profesional y que se encuentra reconocida como tal por el colegio o asociación de profesionistas respectivo, para emitir un juicio o dictamen en materia de desarrollo urbano y ordenamiento territorial.

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

"
296,Permisos de usos de suelo,"Es la autorización que se emite para asignar a los predios o inmuebles un determinado uso o destino, y que cumpla con las leyes, reglamentarias y normas aplicables.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Encuestas en establecimientos; Encuesta nacional de calidad regulatoria e impacto gubernamental en empresas.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=encrige_2016
"
297,Plan o Programa de Desarrollo Urbano,"El conjunto de normas y disposiciones diseñadas o establecidas para ordenar, regular y planear la fundación, conservación, mejoramiento y crecimiento de los centros de población, así como determinar las provisiones, reservas, usos y destinos de las áreas y predios conferidos dentro del perímetro correspondiente.

Fuente: 
Secretaría de Gestión Urbana, Agua y Ordenamiento Territorial. (1994). Ley de Asentamientos Humanos y Desarrollo Urbano del Estado de Coahuila de Zaragoza. México: Congreso del Estado Independiente, libre y soberano de Coahuila de Zaragoza.

"
298,Planeación del Ordenamiento Territorial,"Proceso permanente y continuo de formulación, programación, presupuestación, ejecución, control, fomento, evaluación y revisión del ordenamiento territorial (LDUDF).

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
299,Plantas tratadoras de aguas residuales,"Instalaciones industriales compuestas de un conjunto de unidades de proceso que depuran las aguas residuales, que, habiéndose aprovechado para diversos usos, han quedado contaminadas con desechos domésticos, comerciales e industriales. El tratamiento puede ser de tipo primario, secundario, terciario o avanzado.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Estadísticas del Medio Ambiente. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
300,Plaza,"Aquel espacio público que forma parte de un centro urbano y se caracteriza por estar abierto.

Fuente: 
Definición ABC.

Sitio(s) web:
https://www.definicionabc.com/general/plaza.php
"
301,Población derechohabiente a servicios de salud,"Conjunto de personas que tienen derecho a recibir servicios médicos en instituciones de salud públicas o privadas, como resultado de una prestación laboral por ser pensionado o jubilado, por inscribirse o adquirir un seguro médico o por ser familiar designado beneficiario.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). (S/D). Indicadores. Población derechohabiente a servicios de salud.

Sitio(s) web:
https://www.inegi.org.mx/app/buscador/default.html?q=poblaci%C3%B3n+derechohabiente+a+servicios+de+salu
"
302,Población Económicamente Activa,"Personas de 12 y más años de edad que tuvieron vínculo con la actividad económica o que lo buscaron en la semana de referencia, por lo que se encontraron ocupadas o desocupadas.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
303,Población indígena,"Sector de la población que tiene un arraigo a usos y costumbres propias y que dentro de sus características que le distinguen son su identidad y la lengua en que se comunican.

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de población.

"
304,Población ocupada,"Personas de 12 y más años de edad que en la semana de referencia realizaron alguna actividad económica durante al menos una hora.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
305,Población rural,"Se refiere a la gente que vive en localidades menores de 2 500 habitantes.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
306,Población total,"Total de personas que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2022). Principales resultados por localidad (ITER) Censo de Población y Vivienda 2020. México: INEGI.

"
307,Población urbana,"Es el conjunto de personas que viven en localidades de 2 500 habitantes o más.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
308,Pobreza,"Una persona se encuentra en situación de pobreza cuando tiene al menos una carencia social (en los seis indicadores de rezago educativo, acceso a servicios de salud, acceso a la seguridad social, calidad y espacios de la vivienda, servicios básicos en la vivienda y acceso a la alimentación) y su ingreso es insuficiente para adquirir los bienes y servicios que requiere para satisfacer sus necesidades alimentarias y no alimentarias.

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
309,Pobreza extrema,"Una persona se encuentra en situación de pobreza extrema cuando tiene tres o más carencias, de seis posibles, dentro del Índice de Privación Social y que, además, se encuentra por debajo de la línea de bienestar mínimo. Las personas en esta situación disponen de un ingreso tan bajo que, aún si lo dedicase por completo a la adquisición de alimentos, no podría adquirir los nutrientes necesarios para tener una vida sana.

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
310,Pobreza moderada,"Es aquella persona que, siendo pobre, no es pobre extrema. La incidencia de pobreza moderada se obtiene al calcular la diferencia entre la incidencia de la población en pobreza menos la de la población en pobreza extrema.

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
311,Popal,"Comunidad vegetal herbácea, propia de lugares pantanosos o de agua dulce estancada de la Llanura Costera del Golfo Sur, en zonas con clima cálido húmedo, con temperaturas medias anuales superiores a los 25 °C y precipitación media anual mayor de 1 500 mm.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

"
312,Precipitación,"Agua en forma líquida o sólida procedente de la atmósfera que se deposita sobre la superficie terrestre o en el agua; incluye el rocío, la llovizna, la lluvia, el granizo, el aguanieve y la nieve.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Estadísticas del Medio Ambiente. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
313,Predio o inmueble,"El terreno urbano o rústico que contiene o no construcción, el cual está sujeto en su caso a un régimen de propiedad con extensión y límites físicos reconocidos, en posesión y administrados por una sola entidad, ya sea de manera particular, colectiva, social o pública y es avalada por la autoridad competente.

Fuente: 
Instituto Nacional de Estadística y Geografía. (2013). Diccionario de Datos Catastrales Escala 1:1 000. México: INEGI.

"
314,Predio rural,"Unidad mínima de observación del catastro que se encuentra ubicado en un área rústica, cuyo uso o destino predominante puede ser agrícola, ganadero, forestal, acuícola o de servicios agropecuarios, entre otros.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
315,Predio urbano,"Unidad mínima de observación del catastro que se encuentra ubicado dentro de una localidad urbana, en donde existe la continuidad en las construcciones, cuyo uso y destino predominante puede ser habitacional, industrial, comercial o de servicios públicos, entre otros, y cuenta con infraestructura vial y equipamiento urbano.

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario: Estadísticas de gobierno; Censo nacional de gobierno, seguridad pública y sistema penitenciario estatales. (2020).

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=CNGSPSPE2020
"
