Concepto,Definición
Ocupación del suelo,"acción y efecto de tomar posesión física del suelo para desarrollar una determinada actividad productiva o de cualquier otra índole

Fuente: 
Programa de Ordenación de la Zona Conurbada Intermunicipal, en su Modalidad de Centro de Población de Cuernavaca, Emiliano Zapata, Jiutepec, Temixco y Xochitepec.

Sitio(s) web:
http://sustentable.morelos.gob.mx/p-territorial/pozci-cvaca-glosario
"
Oferta de suelo,"conjunto de procesos y acciones orientados a poner a disposición de la población (principalmente de escasos recursos) espacios territoriales, urbanizados o urbanizables, para revertir la ocupación ilegal (irregular) y el mercado informal de esos espacios. Los espacios territoriales con destino habitacional son los mayormente sujetos a la oferta

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Censo Nacional de Gobiernos Municipales y Delegacionales 2017. Módulo 2: Administración Pública Municipal o Delegacional. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=cngmd2017
"
Ordenamiento ecológico,"instrumento de política ambiental cuyo fin es regular o incluir el uso del suelo y las actividades productivas, con el fin de lograr la protección del medio ambiente y la preservación y el aprovechamiento sustentable de los recursos naturales, a partir del análisis de las tendencias de deterioro y las potencialidades de aprovechamiento de los mismos

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Ordenamiento territorial de los asentamientos humanos,"el ordenamiento territorial es una política pública que tiene como objeto la ocupación y utilización racional del territorio como base espacial de las estrategias de desarrollo socioeconómico y la preservación ambiental

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXVI)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Palmar natural,"asociación de plantas monopódicas pertenecientes a la familia Arecaceae (Palmae)

Fuente: 
Instituto Nacional de Estadística y Geografía. (2017). Guía para la interpretación de cartografía Uso del Suelo y Vegetación escala 1:250 000, serie VI. (México). INEGI.

Sitio(s) web: 
No hay URLs
"
Pantano,"terreno con agua estancada, de poca profundidad y fondo cenagoso, que puede presentar vegetación hidrófila

Fuente: 
Instituto Nacional de Estadística y Geografía. (2014). Diccionario de Datos de Cuerpos de Agua Escala 1:50 000. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Parque industrial,"superficie geográficamente delimitada, planeada y diseñada especialmente para la instalación de plantas industriales, donde se reúnen las mejores condiciones de ubicación, infraestructura y equipamiento

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos.

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Parques nacionales,"áreas con uno o más ecosistemas que se signifiquen por su belleza escénica, su valor científico, educativo, de recreo, su valor histórico, por la existencia de flora y fauna, por su aptitud para el desarrollo del turismo, o por otras razones análogas de interés general

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Parques urbanos,"las áreas verdes de uso público constituidas dentro del suelo urbano para preservar el equilibrio entre ésta y los ecosistemas naturales de dos o más delegacionales políticas (LADF)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Pastizales,"como su nombre lo indica, la forma de vida vegetal dominante de este bioma son los pastos, que pueden tener diferentes alturas y formas de crecimiento. Los pastizales naturales se desarrollan donde la precipitación anual es intermedia entre la del desierto y la del bosque. En las zonas templadas es, generalmente, de 50 a 60 cm, y en las zonas tropicales de hasta 120 cm

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Patrimonio natural y cultural,"sitios, lugares o edificaciones con valor arqueológico, histórico, artístico, ambiental o de otra naturaleza, definidos y regulados por la legislación correspondiente

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). Ley General de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano. (Art. 3. Frac. XXVII)

Sitio(s) web:
http://dof.gob.mx/nota_detalle.php?codigo=5462755&fecha=28/11/2016
"
Pavimento,"recubrimiento compuesto por materiales derivados del petróleo combinados con arcillas, presenta un color negro con textura uniforme y granulada

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de las características del entorno urbano.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=entorno
"
Peatón,"persona que transita por la vía pública a pie; incluye a las personas con discapacidad o con movilidad limitada y menores de doce años a bordo de un vehículo no motorizado

Fuente: 
Secretaría de Desarrollo Agrario, Territorial y Urbano (SEDATU). (2020). PROYECTO de Norma Oficial Mexicana de Espacios públicos en los asentamientos humanos. Ciudad de México: S/D.

Sitio(s) web: 
No hay URLs
"
Perímetro de contención urbana,"línea que delimita las áreas urbanas y urbanizables respecto de las no urbanizables de un centro de población, y que tiene por objeto inducir y contener el desarrollo urbano al espacio físico determinado y planeado para tal efecto, para de esta manera conservar y proteger las áreas no urbanizables

Fuente: 
Gobierno del Estado de San Luis Potosí. Ley de Desarrollo Urbano del Estado de San Luis Potosí (Art. 5. Frac. XX). Página 8.

Sitio(s) web:
http://lx.congresosanluis.gob.mx/ley/248.pdf
"
Perito,"es la persona física que posee cédula profesional y que se encuentra reconocida como tal por el colegio o asociación de profesionistas respectivo, para emitir un juicio o dictamen en materia de desarrollo urbano y ordenamiento territorial

Fuente: 
Gobierno de la Delegación Miguel Hidalgo. (1997). PROGRAMA Delegacional de Desarrollo Urbano de Miguel Hidalgo. México: Delegación Miguel Hidalgo.

Sitio(s) web: 
No hay URLs
"
Permisos de usos de suelo,"es la autorización que se emite para asignar a los predios o inmuebles un determinado uso o destino, y que cumpla con las leyes, reglamentarias y normas aplicables

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Económicas: Encuestas en establecimientos; Encuesta nacional de calidad regulatoria e impacto gubernamental en empresas.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=encrige_2016
"
Plan o Programa de Desarrollo Urbano,"el conjunto de normas y disposiciones diseñadas o establecidas para ordenar, regular y planear la fundación, conservación, mejoramiento y crecimiento de los centros de población, así como determinar las provisiones, reservas, usos y destinos de las áreas y predios conferidos dentro del perímetro correspondiente

Fuente: 
Secretaría de Gestión Urbana, Agua y Ordenamiento Territorial. (1994). Ley de Asentamientos Humanos y Desarrollo Urbano del Estado de Coahuila de Zaragoza. México: Congreso del Estado Independiente, libre y soberano de Coahuila de Zaragoza.

Sitio(s) web: 
No hay URLs
"
Planeación del Ordenamiento Territorial,"proceso permanente y continuo de formulación, programación, presupuestación, ejecución, control, fomento, evaluación y revisión del ordenamiento territorial (LDUDF)

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas del medio ambiente.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Plantas tratadoras de aguas residuales,"instalaciones industriales compuestas de un conjunto de unidades de proceso que depuran las aguas residuales, que, habiéndose aprovechado para diversos usos, han quedado contaminadas con desechos domésticos, comerciales e industriales. El tratamiento puede ser de tipo primario, secundario, terciario o avanzado

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Estadísticas del Medio Ambiente. Glosario.

Sitio(s) web:
https://www.inegi.org.mx/app/glosario/default.html?p=SCMA
"
Plaza,"aquel espacio público que forma parte de un centro urbano y se caracteriza por estar abierto

Fuente: 
Definición ABC.

Sitio(s) web:
https://www.definicionabc.com/general/plaza.php
"
Población derechohabiente a servicios de salud,"conjunto de personas que tienen derecho a recibir servicios médicos en instituciones de salud públicas o privadas, como resultado de una prestación laboral por ser pensionado o jubilado, por inscribirse o adquirir un seguro médico o por ser familiar designado beneficiario

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). (S/D). Indicadores. Población derechohabiente a servicios de salud.

Sitio(s) web:
https://www.inegi.org.mx/app/buscador/default.html?q=poblaci%C3%B3n+derechohabiente+a+servicios+de+salud#tabMCcollapse-Indicadores
"
Población Económicamente Activa,"personas de 12 y más años de edad que tuvieron vínculo con la actividad económica o que lo buscaron en la semana de referencia, por lo que se encontraron ocupadas o desocupadas

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Población indígena,"sector de la población que tiene un arraigo a usos y costumbres propias y que dentro de sus características que le distinguen son su identidad y la lengua en que se comunican

Fuente: 
Definición elaborada con base en la consulta y análisis de documentos de interés en las temáticas de población.

Sitio(s) web: 
No hay URLs
"
Población ocupada,"personas de 12 y más años de edad que en la semana de referencia realizaron alguna actividad económica durante al menos una hora

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Glosario de Estadísticas Sociodemográficas: Censos y conteos de población; Censo de población y vivienda 2010.

Sitio(s) web:
https://inegi.org.mx/app/glosario/default.html?p=cpv2010
"
Población rural,"se refiere a la gente que vive en localidades menores de 2 500 habitantes

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Población total,"total de personas que residen habitualmente en el país, la entidad federativa, el municipio o la demarcación territorial y la localidad

Fuente: 
Instituto Nacional de Estadística y Geografía. (2022). Principales resultados por localidad (ITER) Censo de Población y Vivienda 2020. México: INEGI.

Sitio(s) web: 
No hay URLs
"
Población urbana,"es el conjunto de personas que viven en localidades de 2 500 habitantes o más

Fuente: 
Instituto Nacional de Estadística y Geografía (INEGI). Cuéntame: Glosario de términos. (2018).

Sitio(s) web:
http://cuentame.inegi.org.mx/glosario/default.aspx?tema=G
"
Pobreza,"una persona se encuentra en situación de pobreza cuando tiene al menos una carencia social (en los seis indicadores de rezago educativo, acceso a servicios de salud, acceso a la seguridad social, calidad y espacios de la vivienda, servicios básicos en la vivienda y acceso a la alimentación) y su ingreso es insuficiente para adquirir los bienes y servicios que requiere para satisfacer sus necesidades alimentarias y no alimentarias

Fuente: 
Consejo Nacional de Evaluación de la Política de Desarrollo Social (CONEVAL). Glosario.

Sitio(s) web:
https://www.coneval.org.mx/Medicion/Paginas/Glosario.aspx
"
